Region,Month,For-Sale Property Type,Average Monthly Rent,Average Rent YoY,"Monthly mortgage, 5% down","Monthly mortgage, 5% down YoY","Monthly mortgage, 20% down","Monthly mortgage, 20% down YoY",Median sale price,Median sale price YoY
WI,April 2022,All Residential,"1,654",-8.20%,"1,425",38.20%,"1,200",38.20%,"280,000",9.60%
WI,April 2022,Condo/Co-op,"1,654",-8.20%,"1,324",48.10%,"1,115",48.10%,"260,278",17.50%
WI,April 2022,Multi-Family (2-4 Unit),"1,654",-8.20%,941,13.40%,792,13.40%,"184,900",-10.00%
WI,April 2022,Single Family Residential,"1,654",-8.20%,"1,580",39.30%,"1,330",39.30%,"310,500",10.50%
WI,April 2022,Townhouse,"1,654",-8.20%,"1,552",54.40%,"1,307",54.40%,"305,000",22.50%
MO,April 2022,All Residential,"1,456",-3.50%,"1,526",40.10%,"1,285",40.10%,"300,000",11.20%
MO,April 2022,Condo/Co-op,"1,456",-3.50%,916,36.10%,771,36.10%,"180,000",8.00%
MO,April 2022,Multi-Family (2-4 Unit),"1,456",-3.50%,"1,465",107.50%,"1,234",107.50%,"288,000",64.60%
MO,April 2022,Single Family Residential,"1,456",-3.50%,"1,577",39.60%,"1,328",39.60%,"310,000",10.70%
MO,April 2022,Townhouse,"1,456",-3.50%,"1,112",46.10%,936,46.10%,"218,500",15.90%
MN,April 2022,All Residential,"1,773",-1.80%,"1,902",38.60%,"1,602",38.60%,"373,838",10.00%
MN,April 2022,Condo/Co-op,"1,773",-1.80%,"1,053",30.40%,887,30.40%,"206,900",3.50%
MN,April 2022,Multi-Family (2-4 Unit),"1,773",-1.80%,"1,806",42.10%,"1,521",42.10%,"355,000",12.70%
MN,April 2022,Single Family Residential,"1,773",-1.80%,"2,071",38.70%,"1,744",38.70%,"407,000",10.00%
MN,April 2022,Townhouse,"1,773",-1.80%,"1,480",39.70%,"1,246",39.70%,"290,900",10.80%
National,April 2020,All Residential,"1,645",2.90%,"1,259",-5.40%,"1,061",-5.40%,"302,307",4.80%
National,April 2020,Condo/Co-op,"1,645",2.90%,"1,089",-5.40%,917,-5.40%,"261,389",4.80%
National,April 2020,Multi-Family (2-4 Unit),"1,645",2.90%,"1,315",-5.80%,"1,108",-5.80%,"315,751",4.30%
National,April 2020,Single Family Residential,"1,645",2.90%,"1,290",-5.90%,"1,086",-5.90%,"309,667",4.20%
National,April 2020,Single Units Only,"1,645",2.90%,"1,259",-5.50%,"1,060",-5.50%,"302,178",4.70%
National,April 2020,Townhouse,"1,645",2.90%,"1,160",-5.30%,977,-5.30%,"278,414",4.90%
National,April 2021,All Residential,"1,705",3.70%,"1,483",17.70%,"1,249",17.70%,"367,367",21.50%
National,April 2021,Condo/Co-op,"1,705",3.70%,"1,214",11.50%,"1,023",11.50%,"300,860",15.10%
National,April 2021,Multi-Family (2-4 Unit),"1,705",3.70%,"1,581",20.20%,"1,331",20.20%,"391,717",24.10%
National,April 2021,Single Family Residential,"1,705",3.70%,"1,560",21.00%,"1,314",21.00%,"386,614",24.80%
National,April 2021,Single Units Only,"1,705",3.70%,"1,481",17.70%,"1,247",17.70%,"366,974",21.40%
National,April 2021,Townhouse,"1,705",3.70%,"1,307",12.70%,"1,101",12.70%,"323,905",16.30%
RI,April 2022,All Residential,"2,223",3.70%,"2,061",45.90%,"1,735",45.90%,"405,000",15.70%
RI,April 2022,Condo/Co-op,"2,223",3.70%,"1,506",33.30%,"1,268",33.30%,"296,000",5.80%
RI,April 2022,Multi-Family (2-4 Unit),"2,223",3.70%,"2,137",49.20%,"1,800",49.20%,"420,000",18.30%
RI,April 2022,Single Family Residential,"2,223",3.70%,"2,188",46.50%,"1,842",46.50%,"430,000",16.20%
RI,April 2022,Townhouse,"2,223",3.70%,"1,898",52.70%,"1,598",52.70%,"373,000",21.10%
MO,April 2022,All Residential,"1,566",6.30%,"1,186",36.70%,998,36.70%,"233,000",8.40%
